haber_metni,gercek_etiket,sistem_karari,tahmin,dogru_mu
reha erdem genc bulus reha erdem genc sali egitim program kapsam modern genc ara gel yonetmen senaryo yazar reha erdem nin ucuncu konuk mayis genc ara,Gerçek,Kanıt Bulunamadı / Alakasız,Sahte,False
esnaf hukûmet destek hamle kriz algi olusturmamak sira bat ekonomik zor gun geciren turkiye hukûmet destek esnaf gel turkiye dis borc yukun onemli omu,Sahte,Kısmen Destekleniyor,Gerçek,False
yozgat yilin onemli olay listele calisan yerel gazete yil haber kal yozgat eski etkili yerel gazete yozgatpostasi sene yil yap calistik geri biraktik ,Sahte,Kanıt Bulunamadı / Alakasız,Sahte,True
kurusluk birikim bitcoinde yitiren genc dunya mal gec arkadas cevre sonuc hayat bitcoin alan universite ogrenci mahsun guven bitcoinin beklenmedik dus,Sahte,Yetersiz Kanıt,Sahte,True
ruhani abd muzakere kosul uygun cumhurbaskani ruhani sart abd muzakere kosul uygun medya yer alan haber cumhurbaskani nin muzakere diplomasi yanay sar,Gerçek,Kanıt Bulunamadı / Alakasız,Sahte,False
pkknin adam yakaladik ede yakaladik soru gizem koru gectik cumartesi pkknin lider kadro murat karayilan guvenlik guc yakalandik iddia ajans dusme art ,Sahte,Kısmen Destekleniyor,Gerçek,False
abdurrahim albayrak soylen soylemek iste galatasaray kulup baskan abdurrahim albayrak spor toto super lig hafta besiktas derbi kazanarak onemli puan a,Gerçek,Kısmen Destekleniyor,Gerçek,True
turk yaris pilot yerli hizli ofkeli klip cek turkiye nin defalarca mucadele ede motor spor yarisci erdem genc cikardik yeni album muzik dunya adim oto,Gerçek,Kanıt Bulunamadı / Alakasız,Sahte,False
tayvan meclis nden turkiye dostluk turnuva oneri turkiye gundem gun mesgul ede meclis kavga dostluk temel atilma vesile tayvan meclis baskan meclis du,Sahte,Kısmen Destekleniyor,Gerçek,False
son saliverme darbe atlatan taksim meydan sarraf millî heykel bugun verilen tahliye karar aralik yolsuzluk sorusturma tutuklu sanik hukûmet cephe darb,Sahte,Kanıt Bulunamadı / Alakasız,Sahte,True
onyargilari kirmak amac kurulan kurt platform yil kutla kurt slogan yol cikan kurt platform kurulus yil harbiye kongre duzenlenen gorkemli toren kutla,Sahte,Kanıt Bulunamadı / Alakasız,Sahte,True
turkiye basbakan erdogan cagri kulak verdi bak hadi konus konusu ankara sabah gun farkli eylem uyan basbakanlik toplanan ortalama ses vere yaklasik ki,Sahte,Kısmen Destekleniyor,Gerçek,False
metrelik beton delecek bomba sage mudur gurcan okumus metrelik beton metrelik beton delebil turk savun sanayi yeni gelistirilen delici bomba yak zaman,Gerçek,Kısmen Destekleniyor,Gerçek,True
tren nde eglenceli melankolik yolculuk graham greene kalem aldik tren larda kis gece den uzanan seyahat farkli yolcu bas gecen kesisen hayat melankoli,Gerçek,Kanıt Bulunamadı / Alakasız,Sahte,False
turkiye nin fuzyon icecek mutfak degisik tat kahve bulusturan turkiye nin fuzyon icecek mutfak olmadik kahve atolye ikinci sube caddebostan karistir s,Gerçek,Kısmen Destekleniyor,Gerçek,True
musteri vicdan azap cekme onlemek direnis animasyon duzenleyen alanya sunfex resort hotelde durul gezi park olay pesisira gelen direnis hareket katila,Sahte,Yetersiz Kanıt,Sahte,True
son dakika sariyer apartman yangin sariyer katli bina cikan yangin mahsur kal mahsur kalan vatandas itfaiye ekip kurtaril yangin yaklasik saatlik cali,Gerçek,Destekleniyor,Gerçek,True
dirilis ertugrul dizi gundogdu bey kaan tasaner kimdir kac yas ekran yayinlanan ilgi dirilis ertugrul dizi yayinlanan bolum ettir devam dirilis ertugr,Gerçek,Kanıt Bulunamadı / Alakasız,Sahte,False
son dakika acikla mhp baskanlik divan buyuksehir belediye baskanlik secim yenilen karar mhp yuksek secim kurulu buyuksehir belediye baskanlik secim ye,Gerçek,Kanıt Bulunamadı / Alakasız,Sahte,False
turkiye komsu ulke akli ara bulas suriye savas gectik gun turk hava kuvvet dusurulme art iki ulke arasi gerili had safha ulas birles millet bolge ulke,Sahte,Kısmen Destekleniyor,Gerçek,False
kisa sure buyu benzer fark ata gorecek tranca esleyerek yeni cinsî ureten firma verdi,Gerçek,Kanıt Bulunamadı / Alakasız,Sahte,False
shinji kagawa ruya baslangic besiktasli futbolcu shinji kagawa spor toto super lig hafta deplasman galip geldik antalyaspor ruya baslangic japon futbo,Gerçek,Kanıt Bulunamadı / Alakasız,Sahte,False
fransa saldiri gerceklestiren elenme art malatya firdevsiler cemaat gercek siralama basamak yuksel yayinladik karikatur uzun sure tehdit edilen fransi,Sahte,Kanıt Bulunamadı / Alakasız,Sahte,True
evlenme uzerinde sade gec hak ortay atilan iddia yazilabil backgrid backgrid afp reuters,Gerçek,Kanıt Bulunamadı / Alakasız,Sahte,False
elkaide militan kilik turkiye bedava tatil yapan turist sebeke cokertil ihbar uzerine sabah saat taksim otel baskin duzenleyen emniyet mudurluk asayis,Sahte,Kanıt Bulunamadı / Alakasız,Sahte,True
yillik gecmis bulunan beyaz yakali girisimci kulup proje hayat gecir hazirlan beyaz yakali calisan yeni alan uzerine orjinal fikir paylasabilme gercek,Sahte,Kanıt Bulunamadı / Alakasız,Sahte,True
psikoloji kongre arsivomani hastalik tartisil haftasonu duzenlenen psikoloji kongre psikolog eray lape nin modern yeni hastalik arsivomani konulu bild,Sahte,Kanıt Bulunamadı / Alakasız,Sahte,True
varlik uzerine siir oyku nursel duruel yazili kaya kitap anadolu antik gecmis ara getirerek siirsel uslup felsefi konu oykulestir okur kitap bittik ka,Gerçek,Kanıt Bulunamadı / Alakasız,Sahte,False
medipol basaksehir erzurumspor mesai medipol basaksehir spor toto super lig hafta cumartesi gunu saha buyuksehir belediye erzurumspor mucadele hazirli,Gerçek,Kanıt Bulunamadı / Alakasız,Sahte,False
sampiyon erken belli olma hali gundem gel kilis aksamki basaksehirfenerbahce kilitlen kent yogun roket saldiri sure turkiye gundem gelebilmek yogun ca,Sahte,Kanıt Bulunamadı / Alakasız,Sahte,True
adalet bakanlik ocalan yanit verdi ocalan adalet bakanlik gectik gun gundem mesgul ede ocalan iddia sabah ada basin toplanti duzenle toplanti gazeteci,Sahte,Kanıt Bulunamadı / Alakasız,Sahte,True
begenilen odul yil ncisi duzenlenen dunya begenilen sirket arastirma nda koc holding yil zirve birak onceki gece gerceklesen odul toren turkiye nin be,Gerçek,Kanıt Bulunamadı / Alakasız,Sahte,False
aciklama umutlanan muhalefet cephe parti gelen hamle sarsil chp parti saadet parti demokrat parti haziran erken secim ittifak karar aldik aciklama art,Sahte,Kanıt Bulunamadı / Alakasız,Sahte,True
dunya star olacak burak kut bel baglayan hayran hayal kiriklik konferans ara gel album cikarttik yil milyonlarca genc pesin surukleyerek onemli hayran,Sahte,Kısmen Destekleniyor,Gerçek,False
romanya hortum buyuk panik romanya hortum buyuk panik yol cikan hortum icinde bulunduk otobus yol kenar ucur yaralanma evin cati zarar gorme yerel med,Gerçek,Kanıt Bulunamadı / Alakasız,Sahte,False
cemiyet hayat gelen mal mal durup poz verdik gece ara gel cemiyet hayat gelen isim aksam nisantasi coutere club sebep bulunduk bilmedik gece ara gel c,Sahte,Kanıt Bulunamadı / Alakasız,Sahte,True
nuri demirag kimdir ataturk soyadi verilen nuri demirag hayat turkiye cumhuriyet devlet demiryollari insaat muteahhit insan nuri demirag ayni zaman mu,Gerçek,Kısmen Destekleniyor,Gerçek,True
merkez banka dolar sert mudahale piyasa sayi kriz abi hukûmet yipratmak adam surul gectik hafta icinde tlyi asarak yeni rekor kiran abd dolar merkez b,Sahte,Kısmen Destekleniyor,Gerçek,False
gol icinde insan kemik olduk bavul bulun guney seri katil rum millî muhafiz ordu rmmo subay nikos metaksas kurban ceset bavul gol atil sekil bulun,Gerçek,Kısmen Destekleniyor,Gerçek,True
televizyon yeter anayasa tartisma vatandas hukuk diploma veril uzun sure televizyon izledik anayasa degisiklik konulu tartis program bur iddaa bayii i,Sahte,Kanıt Bulunamadı / Alakasız,Sahte,True
insan odakli cagri uluslararasi calis orgut ilo gecen hafta gelecek calis hayat rapor yayimla ana kategori toplam oneri olusan rapor gelecek calis hay,Gerçek,Kısmen Destekleniyor,Gerçek,True
gaziantep fetopdy operasyon gaziantep fetullahci teror orgutuparalel devlet yapilanma fetodpy yonelik operasyon gozalti zanli tutuklan gaziantep cumhu,Gerçek,Kanıt Bulunamadı / Alakasız,Sahte,False
