,label,clean_data
0,1,fatih terim boy endise sikinti yasa super lig hafta saha besiktas maglup liderlik koltuk oturan galatasaray teknik fatih terim son degerlendirme bulun galatasaray teknik galibiyet art hak ettik odul almak iste lig kupa terim son yayinci kurulus aciklama sekil ali sami yen bun derbi puan kapattik mutlu alin ter odul almak yol yuru kal insallah son getir yari oyun kalite fazla yari skor avantaj hareket dakika dakika boyun kaptirdik top bolum dis boy endise sikinti yasa basin mensup besiktas yedig gol yasanan tac tartisma sezon yari oynanan fenerbahce pozisyon kiyaslama hakkinda yorum terim zaman faul olmayan pozisyon faul tac dedik zaman masa bas yapan koca faul sigdir demek pozisyon onemli cevap verdi oyun sergiledik belirten terim bugun baktik oyun basla dakika oyna art kaptirdik top sikinti yasa top sahip kaptirdik top dis tehlike yasa dan rakip sampiyonluk oynayan risk yedig gol rakibe umit sag gecis hucum etkili pozisyon sonuclandir gol atabil oyuncu kutlu ufak hata sampiyonluk uzaklastiran oynamak kolay oyuncu oynama bilip oynadik kutlu kadro olmadik deginen terim ndiaye nin kadro olmama sayi alakali hafta yararlan dinle ozel git ndiaye sene dusunduk oyuncu oynayacak isim degisebil fernando son donem diri fizik akli vazgecil deplasman farkli iceri farkli oyun oynama kalan hafta sikinti yasama olmayacak hakkinda sorulan soru tecrubeli calistirici sene deplasman degisik iceri degisik dur lazim umit zaman mesele zaman icinde hallet iki deplasman insallah sorun yasa yer getir bugunku galibiyet sade liderlik kriter getir olasi sikinti saha telafi olanak getir son form oyna rize hayirli yanit verdi kaybettik zaman vazgectik zaman terim ise inan camia kulup tani taraftar camia inan birlestik zaman rakip zorlandik gor zaman soyle kaybettik vazgectik vazgec allah mahcup insallah hafta lider guzel bun son gotur hak ettik odul almak iste lig kupa fatih terim hafta yayinci kurulus dagitilan odul oyuncu odul almama hakkinda soru calis odul almak oyuncu verdi odul almak calisacak hak ettik odul git bini askin taraftar rekor kir galatasaray guzel gece son getir yanit verdi ote yan fatih terim derbi hakem yonet hakem tebrik belhanda karar
1,1,lyon psg ozet fransa ligue lider psg lig yenilgi olympique lyon deplasman paris temsilci mucadele maglup ayril gol angel maria kaydet sahip galibiyet gol moussa nabil gel psg sonuc puan liderlik surdur olympique lyon puan yuksel
2,1,bursa sahur zaman burs iftar saat ramazan imsakiye sultan huzur bereket ayi ramazan baslama kisa sure kal musluman buyuk onem sahip ramazan oruc pazar pazartesi baglayan gece sahur kalkil bursa ikamet ede sayi vatandas sahur iftar saat merak bursa iftar saat kacta yapil sahur zaman huzur bereket ayi mayis pazar gunu basla ramazan teravih namaz mayis pazar gunu kilin bursa ikamet ede vatandas diyanet baskanlik duyurulan bilgi sahur iftar vakit arastir burs ramazan imsakiye yil ramazan ayi diyanet baskanlik din yuksek kurulu baskanlik kamerî hesaplama sevval hilalî ramazan gunu aksam gorulecek gun surecek sultan huzur bereket ayi ramazan teravih namaz mayis pazar gunu kilin musluman buyuk onem sahip ramazan oruc mayis mayis baglayan gece sahur kalkil teravih namaz mukabele fitir itikâf ibadet ifa edildik kura kerim bin hayirli olduk bildirilen kadir gece ramazan gece denk gelen mayis idrak edil ramazan art haziran musluman buyuk sevinc karsiladik ramazan bayram giril diyanet baskanlik yil ramazan ana temas ramazan fitre bedel turk lira olduk duyurul
3,0,stres cark yaratici mujde milyonlarca gerizekalinin sevecek yeni bul dunya olduk turkiye kasip kavuran stres cark bulan guney korel girisimci hyunjin kwon bugun gelistir asama proje detay paylasilmayan gizemli aygit buyuk beklenti olduk belirten kwon zimbirti dunya cap milyonlarca gerizekalinin buyuk begeni kazan guney kore nin baskent bugun basin toplanti duzenleyen stres cark yaratici hyunjin kwon yeni urun duyuru gecmeden stres cark gosterilen ilgi oturu dunya gerizekalilarina tesekkur kwon valla yuzum kara cikart sagol stres cark bulduk hyunjin icadet ihtiyac milyonlarca gerizekali mevcut aci bakinca hedef kitle insanlik olduk soyleyebil diyerek ikinci proje hayli umutlu olduk ifade basarili girisimci aciklama surdur tabi stres cark buyuk basari yakaladik hemen simarmak onemli zirve cikmak kalabilmek arastirma dunyada gerizekali pazar doymus durum millet goz bak yeni futursuzca para harca sirri ise nesne insan valla stres cark urettir cin taseron abi rulman parca falan cevir muptela beyinsiz kar tokluk stres cark uret resmen parti tane ver sabah aksam oyna yeni urun arge faaliyet tamamlandik ekleyen hyunjin kwon toplam ulke stres cark kullanan denek tuketici arastirma yurut alt gelir gurup denek onemli alet kafadan dolar ode hazir olduk soyle veri hareket orta gelir grup yonelik wifi ozellikli model cikarip dolar iteleme planli yuksek gelir grup gerizekalilar kaplamali dolar hazir diyerek performans aktar alet detay paylasmayacak dile getiren kwon son sade bolge uygulanan urun olduk soyle evet niyet basar silkeleme cita yuksek cek olacak yasadik heyecan dile getir
4,0,kisa sure dunya duyuran libya turizm yil sure dunya gundem mesgul ede libya turizm bakan serif beserî sabah duzenledik surpriz basin toplanti turizm yil ilan ettik acikla reklam olmaz slogan yol cikarak turizm atak kalkmak uygun zaman olduk karar verdik belirten beserî deg kumsal uygun genis col yan sira ozellik son donem yukselen tren adrenalin turizm adres olduk dusun diyerek macera arayan yaz libya davet
5,0,instagramda kisa sure bin takipci ulasan burcu oytun basari sirri paylas guzel yaklasik katildik instagram camia ant fenomen hali gelen burcu oytun kisa zaman gelen muthis basari art gercek kamuoyu paylas instagram koyduk fotograf sanatsal deger onem olmadik samimiyet ifade ede oytun tas bay bildik guzel resmen durum aciklik getir basarili guzel takipci sayi basin toplanti adet art sosyal medya gelen platform instagram rekor elde ettik bin takipci ant ilgi odak hali gelen burcu oytun duzenledik basin toplanti seven kamuoyu seslen konusma degerli basin mensup arkadas hooop evet yuzum etek kafa kaldirabil laf edecegiz seklî gazeteci takilarak baslayan oytun hayli neseli yemek foto falan diyerek âdeta doken guzel genc populerlik elde ettik ornek acikla buyrun sabahtan kare ayni yumurta ayni kahvalti mekân kader selvi isimli kullanici paylas like like pardon aha say nazar deg olay asagi yukari gelis dusun bulduk yanit hayvan guzel ahah hay masallah sosyal medya begenilen yuz instagramda fenomen isteyen kullanici seslenme ihmal tabir loser lara fotografcilik kurs gitmek goruntu ayarlamak goster filtre uygulamak secenek oneren burcu oytun deney bil sor instagram kullanici estetik ameliyat secenek dur tip diyerek onemli tavsiye bulun son gazeteci toplu selfie ceken yukleyen deneyimli instagram fenomen basarili filtre kullanim goster oytun bak arkadas buyrun filtre sec siyahbeyaz yap dile gorduk guzel yanim iki arkadas afedersiniz kurbaga isik ayni isik ayni takipci son mesaj verdi ara uzeri arquedesignin hediye nisantasindaki magaza mutlaka ziyaret edin harika model metin firat kuafor yap muhtesem kuafor tesvikiyede kes gidi ayakkabi sponsor
6,1,tuzla erik cekirdek atan cocuk dov karar cikti gozalti tuzla erik cekirdek cocuk olduresiye doven hakkinda cikan tutukla'maya yonelik kararin art gozalti alindi emniyet islem biten adliye sevk edil anadolu cumhuriyet bassavcilik itiraz uzerine araci atan myk darp ede otomobil surucu ufuk hakkinda elektronik kelepce hapis alinma yonelik adli kontrol karar kaldiril ufuk hakkinda tutukla'maya yonelik karar cikaril anadolu cumhuriyet bassavcilik itiraz ust mahkeme sifat degerlendiren sulh ceza ufuk isledik suc istenen ceza miktar ust sinir suc vasif mahiyet gostererek supheli hakkinda adli kontrol hukum kaldir supheli elektronik kelepce hapis alinma yonelik karar kaldiran mahkeme supheli hakkinda tutukla'maya yonelik karar cikarilma karar verdi yakalanan ufuk polis adliye sevk edil
7,1,sergen yalcin dakika oyun ver alanyaspor teknik sergen yalcin galatasaray karsi ustun oyun sergiledik soyle gercekten memnun oyuncu bireysel performans memnun son hafta saha guclu goruntu ver onemli oyun yari kontrol gec yap rakibe deplasman geldik iste bun yap kaptik top oynama becer rakip oynat hata zorla dakika final pas zorluk yasa bolum dengeli gec gol dakika oyun kontrol tekrar galatasaray savun yap galatasaray gol haricî pozisyon yoktu galatasaray mucadele sampiyonluk oynayan alt sira yuksel calis beklenmedik ant enteresan gol yil gol gecen hafta oyna yukselen performans oyuncu mental durum memnun skor degistirebil oyuncu sahip oyna dakika oyun ver sikinti dustuk dakika oyna memnun
8,1,kus cinayet amca yegen katil nizip ilce yasayan siddik kuslar amca kemal nin evin teras tufek vurularak oldurul olay ogle saat ilce bagli ozyurt mahalle nde meydan gel ciftcilik yapan siddik nin evin teras kuslar komsu amca kemal nin teras kondu arasi tartis cikti tartis sur amca kemal tufek yegen siddik ates silah ses uzerine teras cikan baba ogul kan icinde gorunce durum jandarma saglik ekip bildir ambulans nizip devlet hastane kaldirilan siddik doktor mudahale kurtaril yegen olduren kemal jandarma gozalti alindi siddik nin cenaze otopsi art toprak verilmek yakin teslim edil cinayet sorustur suru
9,1,baba miras faydalan nufus kaydettiril zonguldak bebek amca amca cocuk baba miras faydalanmama tanimadik uzerine ettirildik iddia ede yas bayram ceran dna testi iste
